gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,object_id,flaeche,id_wahllok,wahlbez_nr,landtagswa
8,AWO KiTa im Kinder- und Jugendhaus Brake,33729.000000000000000,Bielefeld,Glückstädter Straße,25.000000000000000,,,,472313.063020000001416,5769363.603350000455976,26,"022.1",1993974.433909999905154,37.000000000000000,"22","93"
107,Kita Schaukelpferd e.V.,33729.000000000000000,Bielefeld,Engersche Straße,403.000000000000000,,,,471314.429029999941122,5769485.472350000403821,26,"022.1",1993974.433909999905154,37.000000000000000,"22","93"
115,Kita Nestfalken,33604.000000000000000,Bielefeld,Bielsteinstraße,7.000000000000000,,,,468539.823030000028666,5762899.878360000438988,79,"003.1",231217.287899999995716,76.000000000000000,"3","92"
184,"KiTa ""Kidstown 2""",33604.000000000000000,Bielefeld,Eduard-Windthorst-Straße,7.000000000000000,,,,468807.437029999971855,5762601.947359999641776,79,"003.1",231217.287899999995716,76.000000000000000,"3","92"
46,Evangelisches Familienzentrum Matthias-Claudius,33739.000000000000000,Bielefeld,Böckmannsfeld,53.000000000000000,,x,,465922.723029999993742,5772041.928349999710917,28,"020.1",5117561.341152999550104,39.000000000000000,"20","94"
18,AWO KiTa Vilsendorf,33739.000000000000000,Bielefeld,Blackenfeld,7.000000000000000,,,,469525.007029999978840,5769167.916349999606609,29,"021.4",2258728.670481999870390,48.000000000000000,"21","94"
73,Ev. Familienzentrum Hand in Hand,33739.000000000000000,Bielefeld,Epiphanienweg,49.000000000000000,,x,,469163.153030000044964,5769240.515350000001490,29,"021.4",2258728.670481999870390,48.000000000000000,"21","94"
4,AWO Kita und Familienzentrum Altenhagen,33729.000000000000000,Bielefeld,Am Franzhof,6.000000000000000,,x,,475111.461019999987911,5766489.951360000297427,31,"023.4",4105813.857075000181794,34.000000000000000,"23","93"
147,städt. KiTa Oberlohmannshof,33739.000000000000000,Bielefeld,Steinbockstraße,22.000000000000000,,x,x,467832.102030000009108,5772224.366349999792874,32,"020.3",2253234.014363000169396,64.000000000000000,"20","94"
86,Familienzentrum Kinderhaus Weltenbummler,33739.000000000000000,Bielefeld,Eickumer Straße,89.000000000000000,,x,,468151.121029999980237,5772107.824350001290441,32,"020.3",2253234.014363000169396,64.000000000000000,"20","94"
93,Kath. KiTa St. Bonifatius,33605.000000000000000,Bielefeld,Danziger Straße,43.000000000000000,,,,471912.501019999966957,5761059.535360000096262,33,"027.2",284224.457434999989346,22.000000000000000,"27","93"
154,städt. KiTa Stettiner Straße,33605.000000000000000,Bielefeld,Stettiner Straße,38.000000000000000,,,x,472183.223019999975804,5761167.070360000245273,33,"027.2",284224.457434999989346,22.000000000000000,"27","93"
39,Kindergruppe Apfelstraße,33611.000000000000000,Bielefeld,Apfelstraße,129.000000000000000,,,,468176.144030000024941,5766396.259359999559820,34,"011.4",328709.930337000056170,51.000000000000000,"11","92"
64,Ev. Familienzentrum Thomas,33611.000000000000000,Bielefeld,Sievekingstraße,2.000000000000000,,x,,468261.312029999971855,5766183.528360000811517,34,"011.4",328709.930337000056170,51.000000000000000,"11","92"
135,städt. KiTa Huchzermeierstraße,33611.000000000000000,Bielefeld,Huchzermeierstraße,16.000000000000000,,,x,469120.200030000007246,5767277.299359999597073,66,"012.3",532545.691218000021763,61.000000000000000,"12","92"
189,Waldorfkindergarten Bielefeld,33611.000000000000000,Bielefeld,An der Propstei,21.000000000000000,,,,469124.931030000036117,5767697.637350000441074,66,"012.3",532545.691218000021763,61.000000000000000,"12","92"
