gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
50,Ev. Kindertagesstätte und Familienzentrum Erdenreich,33617.000000000000000,Bielefeld,Bethelweg,84.000000000000000,,x,,468150.959030000027269,5761430.706360000185668,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
51,Ev. Kindertagesstätte Windspiel,33617.000000000000000,Bielefeld,Landgrafweg,15.000000000000000,,,,467027.051029999973252,5761496.028359999880195,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
102,"Kindertagesstätte ""Die Fuzzis"" e.V.",33617.000000000000000,Bielefeld,Pellaweg,13.000000000000000,,,,466803.235029999981634,5761244.877360000275075,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
103,KiTa Tausendfüßler e.V.,33617.000000000000000,Bielefeld,Am Obstgarten,6.000000000000000,,,,467933.395030000014231,5762214.064360000193119,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
40,Ev. KiTa Martini,33617.000000000000000,Bielefeld,Hortweg,12.000000000000000,,,,466646.005030000000261,5761588.916360000148416,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
178,KiTa Villa Kunterbunt e.V.,33617.000000000000000,Bielefeld,Johannistal,32.000000000000000,,,,466794.465030000021216,5763042.648359999991953,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
28,Die Krümelmonster e.V.,33607.000000000000000,Bielefeld,Angelstraße,6.000000000000000,,,,470033.195030000002589,5763176.307359999977052,12,"3",Ostmarktviertel,"92",1393793.976842310046777
84,"KiTa ""Die Wilde 13""",33607.000000000000000,Bielefeld,Ravensberger Straße,130.000000000000000,,,,469237.782030000002123,5763181.598360000178218,12,"3",Ostmarktviertel,"92",1393793.976842310046777
115,Kita Nestfalken,33604.000000000000000,Bielefeld,Bielsteinstraße,7.000000000000000,,,,468539.823030000028666,5762899.878360000438988,12,"3",Ostmarktviertel,"92",1393793.976842310046777
136,städt. KiTa Jakobus,33604.000000000000000,Bielefeld,Jakobusstraße,5.000000000000000,a,x,x,469221.777029999997467,5762653.652359999716282,12,"3",Ostmarktviertel,"92",1393793.976842310046777
184,"KiTa ""Kidstown 2""",33604.000000000000000,Bielefeld,Eduard-Windthorst-Straße,7.000000000000000,,,,468807.437029999971855,5762601.947359999641776,12,"3",Ostmarktviertel,"92",1393793.976842310046777
185,"KiTa ""Kidstown""",33604.000000000000000,Bielefeld,Spindelstraße,5.000000000000000,,,,468673.772029999992810,5763015.907359999604523,12,"3",Ostmarktviertel,"92",1393793.976842310046777
186,"KiTa ""Mühlenpark""",33607.000000000000000,Bielefeld,Kleine Howe,2.000000000000000,d,,,469660.303030000010040,5763278.395360000431538,12,"3",Ostmarktviertel,"92",1393793.976842310046777
91,Kath. KiTa Liebfrauen,33604.000000000000000,Bielefeld,Theodor-Hürth-Straße,2.000000000000000,,,,469304.902029999997467,5762616.076360000297427,12,"3",Ostmarktviertel,"92",1393793.976842310046777
165,Ev. Christus Kindergarten,33659.000000000000000,Bielefeld,Hermann-Windel-Straße,2.000000000000000,,x,,467847.424029999994673,5756091.919369999319315,13,"32",Buschkamp,"93",16207424.169726900756359
166,"Ev. Familienzentrum KiTa ""Die Arche""",33659.000000000000000,Bielefeld,Max-Planck-Straße,18.000000000000000,,x,,468520.485029999981634,5758062.655360000208020,13,"32",Buschkamp,"93",16207424.169726900756359
174,Ev. KiTa unterm Regenbogen,33659.000000000000000,Bielefeld,Schopenhauerweg,12.000000000000000,,,,469268.922030000074301,5757950.334359999746084,13,"32",Buschkamp,"93",16207424.169726900756359
3,AWO Kita/Familienzentrum Kinderhaus Senne,33659.000000000000000,Bielefeld,Offenburger Straße,7.000000000000000,,x,,469003.387029999983497,5756442.149369999766350,13,"32",Buschkamp,"93",16207424.169726900756359
35,DRK KiTa und Familienzentrum Heideblümchen,33689.000000000000000,Bielefeld,Ginsterweg,1.000000000000000,,x,,471152.118030000012368,5752557.648369999602437,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
49,Ev. Kindertagesstätte Nobea,33689.000000000000000,Bielefeld,Verler Straße,185.000000000000000,,,,469641.564030000066850,5753491.064369999803603,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
78,KiTa Wiesenhummeln,33689.000000000000000,Bielefeld,Paracelsusweg,7.000000000000000,,,,469760.468029999989085,5753233.530369999818504,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
108,KiTa Zauberwald,33689.000000000000000,Bielefeld,Kuhloweg,7.000000000000000,,,,470032.809030000003986,5754179.889369999989867,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
160,städt. KiTa Wintersheide,33689.000000000000000,Bielefeld,Bleicherfeldstraße,70.000000000000000,,,x,471065.375030000053812,5754354.205369999632239,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
172,Ev. KiTa Mittendrin,33689.000000000000000,Bielefeld,Dalbker Allee,20.000000000000000,,,,472658.362020000000484,5753407.042369999922812,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
30,DRK KiTa und Familienzentrum Abenteuerland,33689.000000000000000,Bielefeld,Altmühlstraße,30.000000000000000,a,x,,471062.024029999971390,5754991.115369999781251,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
96,Kath. KiTa St. Kunigunde,33689.000000000000000,Bielefeld,Hirschweg,39.000000000000000,,,,471370.222019999928307,5754525.252369999885559,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
213,Dalbker Spatzen,33689.000000000000000,Bielefeld,Am Sprungfeld,1.000000000000000,,,,,,14,"31",Sennestadt-Süd,"93",14855072.321967899799347
22,Villa Butterblume,33611.000000000000000,Bielefeld,Sudbrackstraße,43.000000000000000,,,,467939.946029999991879,5765393.585359999909997,15,"7",Nordpark,"92",2261251.042179970070720
95,St. Joseph,33602.000000000000000,Bielefeld,Josefstraße,15.000000000000000,,,,468517.643029999977443,5764714.728360000066459,15,"7",Nordpark,"92",2261251.042179970070720
113,Die Schatzinseln,33613.000000000000000,Bielefeld,Bünder Straße,25.000000000000000,a,,,467731.340030000021216,5765455.434359999373555,15,"7",Nordpark,"92",2261251.042179970070720
117,Kindertagesstätte Villa Wundervoll,33609.000000000000000,Bielefeld,Herforder Straße,153.000000000000000,,,,469018.861029999970924,5764991.051359999924898,15,"7",Nordpark,"92",2261251.042179970070720
123,städt. KiTa Bökenkampstraße,33613.000000000000000,Bielefeld,Bökenkampstraße,16.000000000000000,,,x,467618.593029999989085,5764925.095359999686480,15,"7",Nordpark,"92",2261251.042179970070720
139,städt. KiTa Kamphof,33613.000000000000000,Bielefeld,Am Kamphof,11.000000000000000,,,x,467743.086030000005849,5764888.859360000118613,15,"7",Nordpark,"92",2261251.042179970070720
145,städt. KiTa Nordpark,33613.000000000000000,Bielefeld,Wallenbrücker Straße,29.000000000000000,,x,x,467548.707029999990482,5765222.988359999842942,15,"7",Nordpark,"92",2261251.042179970070720
