X,Y,gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,statistische_raumeinheit_name,statist_raumeinheit_id,maennlich,weiblich,null_bis_unter_18,proz_0_bis_unter_18,gleich_18_bis_unter_65,proz_18_bis_unter_65,gleich_65_u_aelter,proz_65_u_aelter,durchschnittsalter,einw_ges,deutsch_ohne_migrationshintergrund,deutsch_mit_migrationshintergrund,auslaendisch,proz_hhmitkindern_an_allenhh,abs_bev_entwicklung_5jahre,proz_bev_entwicklung_5jahre
468660.16803,5765692.24336,76,JW-Familienzentrum Johannesstift KiTa Haus Sonnenblume,33611.000000000000000,Bielefeld,Schildescher Straße,101.000000000000000,,x,,468660.168030000000726,5765692.243359999731183,46,Stat. Raumeinheit 107,107,901,1016,311,"16,2",1242,"64,8",364,"19","42,1",1917,895,492,530,"18,6",-67,"-3,4"
468660.16803,5765692.24336,77,JW-Familienzentrum Johannesstift KiTa Pappelhof,33611.000000000000000,Bielefeld,Schildescher Straße,101.000000000000000,,x,,468660.168030000000726,5765692.243359999731183,46,Stat. Raumeinheit 107,107,901,1016,311,"16,2",1242,"64,8",364,"19","42,1",1917,895,492,530,"18,6",-67,"-3,4"
467465.974438451,5766116.59542658,57,Ev. KiTa Lydia,33613.000000000000000,Bielefeld,Gunststraße,20.000000000000000,a,,,467449.073030000028666,5766128.887360000051558,47,Stat. Raumeinheit 108,108,1118,1179,275,"12",1523,"66,3",499,"21,7","44,8",2297,1689,364,244,"13,4",-15,"-0,6"
468176.14403,5766396.25936,39,Kindergruppe Apfelstraße,33611.000000000000000,Bielefeld,Apfelstraße,129.000000000000000,,,,468176.144030000024941,5766396.259359999559820,48,Stat. Raumeinheit 109,109,935,1049,297,"15",1144,"57,7",543,"27,4","47,2",1984,1394,376,214,"16,7",41,"2,1"
468261.31203,5766183.52836,64,Ev. Familienzentrum Thomas,33611.000000000000000,Bielefeld,Sievekingstraße,2.000000000000000,,x,,468261.312029999971855,5766183.528360000811517,49,Stat. Raumeinheit 110,110,1158,1086,365,"16,3",1545,"68,9",334,"14,9","40,8",2244,863,457,924,"15,2",58,"2,7"
468303.18703,5767260.88536,63,Ev. Familienzentrum Stifts-Kita,33611.000000000000000,Bielefeld,Stapelbrede,70.000000000000000,,x,,468303.187029999971855,5767260.885359999723732,51,Stat. Raumeinheit 112,112,1419,1465,414,"14,4",1791,"62,1",679,"23,5","45,5",2884,1643,655,586,"16,5",-75,"-2,5"
467705.82403,5767089.96436,129,städt. KiTa Gellershagen,33613.000000000000000,Bielefeld,Mergenthalerweg,11.000000000000000,,x,x,467705.824030000017956,5767089.964359999634326,52,Stat. Raumeinheit 113,113,1254,1381,370,"14",1719,"65,2",546,"20,7","43,6",2635,1909,442,284,"16,2",-26,"-1"
467137.95703,5766422.77936,1,Familienzentrum Lange Wiese,33613.000000000000000,Bielefeld,Lange Wiese,6.000000000000000,,x,,467137.957029999990482,5766422.779360000044107,54,Stat. Raumeinheit 115,115,956,1072,340,"16,8",1303,"64,3",385,"19","42,4",2028,1218,474,336,"18,3",52,"2,6"
466407.25603,5766301.19636,140,städt. KiTa Kipps Hof,33613.000000000000000,Bielefeld,Kleekampweg,38.000000000000000,,,x,466407.256029999989551,5766301.196360000409186,55,Stat. Raumeinheit 116,116,777,838,265,"16,4",1044,"64,6",306,"18,9","42",1615,1173,249,193,"18",32,"2"
466846.57803,5765668.22436,58,Evangelische Kindertageseinrichtung Matthäus,33613.000000000000000,Bielefeld,Am Brodhagen,34.000000000000000,,,,466846.578029999975115,5765668.224360000342131,56,Stat. Raumeinheit 117,117,626,725,197,"14,6",823,"60,9",331,"24,5","47,2",1351,937,241,173,"15,8",-105,"-7,2"
